Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.00051413,-1.48,9.5,0.8022184372,26.8594703674,0.802,-0.114,3.7964,4.594,1,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-5.43e-14,0.0,0.7937,0.2058,7.819e-05,2.14e-05,0.0001947,-1.0,0.0005111,5.056,5.02,5.25,4.62,5.623,5.229,4.159,3.891,3.86
0.00051413,-1.48,9.5,0.8419237733,26.8640384674,0.841,0.002,3.8095,4.551,1,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-7.29e-14,0.0,0.7936,0.2059,7.908e-05,2.166e-05,0.0001972,-1.0,0.0004591,4.764,4.735,4.943,4.363,5.278,4.927,3.935,3.69,3.666
0.00051413,-1.48,9.5,0.8500000238,26.864906311,0.849,0.026,3.8121,4.542,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-7.74e-14,0.0,0.7934,0.2061,7.932e-05,2.173e-05,0.0001979,-1.0,0.0004669,4.705,4.677,4.881,4.311,5.209,4.866,3.89,3.649,3.626
0.00051413,-1.48,9.5,0.8762952089,26.8676013947,0.876,0.101,3.8206,4.514,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-9.35e-14,0.0,0.794,0.2056,7.924e-05,2.171e-05,0.0001978,-1.0,0.0004417,4.517,4.491,4.682,4.142,4.99,4.67,3.744,3.52,3.5
0.00051413,-1.48,9.5,0.8999999762,26.8698749542,0.899,0.169,3.8281,4.487,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.11e-13,0.0,0.7943,0.2053,7.925e-05,2.172e-05,0.0001978,-1.0,0.0004171,4.348,4.322,4.503,3.99,4.794,4.492,3.612,3.404,3.385
0.00051413,-1.48,9.5,0.9083122015,26.870639801,0.907,0.192,3.8309,4.479,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.18e-13,0.0,0.7942,0.2053,7.926e-05,2.172e-05,0.0001979,-1.0,0.0004313,4.289,4.264,4.441,3.938,4.725,4.431,3.567,3.365,3.347
0.00051413,-1.48,9.5,0.9371459484,26.873167038,0.936,0.274,3.8405,4.449,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.45e-13,0.0,0.7938,0.2058,7.939e-05,2.175e-05,0.0001982,-1.0,0.0004347,4.085,4.06,4.223,3.754,4.487,4.215,3.41,3.229,3.212
0.00051413,-1.48,9.5,0.9499999881,26.8742351532,0.949,0.311,3.8448,4.435,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.59e-13,0.0,0.7934,0.2062,7.948e-05,2.178e-05,0.0001984,-1.0,0.0004283,3.992,3.968,4.125,3.671,4.379,4.117,3.339,3.168,3.151
0.00051413,-1.48,9.5,0.9591906071,26.8749790192,0.958,0.337,3.8482,4.427,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.7e-13,0.0,0.7936,0.206,7.943e-05,2.177e-05,0.0001983,-1.0,0.0004232,3.927,3.903,4.055,3.614,4.302,4.048,3.291,3.127,3.111
0.00051413,-1.48,9.5,0.9823598862,26.8767814636,0.982,0.404,3.857,4.406,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-2.01e-13,0.0,0.7938,0.2057,7.934e-05,2.174e-05,0.0001981,-1.0,0.0004392,3.759,3.735,3.876,3.466,4.104,3.869,3.168,3.023,3.007
